"User Target","Week Duration","Prior Knowledge","Description","Important Technology Keywords"
"Cloud Architect","18","Basic Python","Multi-cloud strategy is what I want to specialize in because I see companies getting locked into single cloud vendors and I think being able to architect solutions that span AWS and GCP or Azure is a genuine competitive advantage. I know Python basics and I want to use Pulumi for infrastructure as code because I can write it in Python rather than learning a new language like HCL. I want to understand the equivalent services across the major clouds so I can make informed architectural decisions. Kubernetes as the common abstraction layer that works across clouds is interesting to me. Cloud networking concepts including VPNs, direct connect, and peering between clouds. The goal is both the AWS SAA and GCP Professional Cloud Architect certifications.","Multi-cloud, AWS, GCP, Azure, Pulumi, Kubernetes, Cloud Networking, AWS SAA, GCP Professional Cloud Architect"
"Data Scientist","12","Excel","marketing analytics person who uses excel for everything. want to move to python. pandas for data manipulation. basic machine learning for customer segmentation and churn prediction. maybe some nlp for analyzing customer feedback. want to be more valuable to my marketing team.","Python, Pandas, Scikit-learn, Customer Segmentation, Churn Prediction, NLP, Marketing Analytics"
"Embedded Systems Engineer","22","Basic C++","I took an introductory C++ course and I'm fascinated by hardware and low-level programming, the idea that software can directly control physical things in the real world. I want to become an embedded systems engineer. I need to go much deeper in C because embedded systems typically use C more than C++. Understanding microcontroller architecture, specifically ARM Cortex-M series because that's what most modern embedded systems use. STM32 development boards as my learning hardware platform. RTOS concepts using FreeRTOS for real-time scheduling and task management. Peripheral interfaces like SPI, I2C, UART, and GPIO. Understanding how to debug embedded systems with JTAG and GDB. Power management is important for battery-powered devices. I want to build a complete embedded project from scratch as my portfolio piece.","C, ARM Cortex-M, STM32, FreeRTOS, RTOS, SPI, I2C, UART, JTAG, Embedded Systems, Power Management"
"Blockchain Developer","22","College CS","I've been following the DeFi space obsessively for two years and I want to build in it, not just trade in it. My CS background means I understand programming well but I need to learn the blockchain-specific stack. Solidity is the obvious starting point and I want to get genuinely good at it, not just write simple contracts. Foundry is my choice for development framework because it's Rust-based and very fast for testing. I want to understand how major DeFi protocols work at the code level: Uniswap V3's concentrated liquidity mechanism, Aave's interest rate model, Compound's governance system. Smart contract security is something I want to take very seriously, understanding common attack vectors like reentrancy, flash loan attacks, and oracle manipulation. I want to participate in audit contests on Code4rena as a way to develop and demonstrate security skills.","Solidity, Foundry, DeFi, Uniswap, Aave, Flash Loan Attacks, Reentrancy, Oracle Manipulation, Smart Contract Security, Code4rena"
"Frontend Developer","12","Basic HTML/CSS","I design logos and branding for small businesses and my clients always end up asking if I can also build them a website, so I want to add web development to my design services. My HTML and CSS are decent from tweaking WordPress themes but I've never written real JavaScript. I want to learn JavaScript enough to make sites interactive and then learn either React or Vue for building more complex things. I'm leaning Vue because I've heard it's more beginner-friendly. Understanding how to optimize websites for performance and SEO is something my clients care about a lot. I also want to learn how to work with animation libraries like GSAP because my clients love the fancy scrolling animations they see on big brand websites.","JavaScript, Vue.js, HTML, CSS, SEO Optimization, GSAP, Web Animation, Web Performance"
"Business Intelligence Analyst","16","Basic SQL","I want to make the transition from being a general data analyst who does ad-hoc analysis to building proper scalable BI infrastructure. The difference I understand is that BI is about building reusable data products rather than one-off analyses. I need to learn data modeling properly, specifically the dimensional modeling concepts from the Kimball methodology, because that's how data warehouses are designed to support BI. dbt is the tool I'm most excited to learn because it brings software engineering best practices like version control and testing into data transformation. Looker or Metabase for the BI layer on top. BigQuery as the cloud data warehouse since I'm already in a Google Cloud environment. Understanding how to design a semantic layer so business users can self-serve without getting wrong answers.","Data Modeling, Kimball Methodology, Dimensional Modeling, dbt, Looker, Metabase, BigQuery, Semantic Layer"
"Blockchain Developer","12","Intermediate Python","defi protocol development. already know python. learning solidity. hardhat for testing. uniswap v2 fork as learning project. want to understand amm mechanics deeply, liquidity pools, price discovery. security is critical in defi so also studying common vulnerabilities.","Solidity, Hardhat, DeFi, AMM, Liquidity Pools, Uniswap, Smart Contract Security"
"DevOps Engineer","16","College CS","I studied computer science and focused on distributed systems which turns out to be a great background for DevOps and SRE work. I understand concepts like consistency, availability, and partition tolerance, and I've written code in multiple languages. What I'm missing is the operational tooling experience. I want to learn the standard DevOps toolchain starting with containerization and orchestration, then CI/CD pipeline design and implementation. GitOps practices using ArgoCD or Flux for Kubernetes deployments interest me because the declarative approach appeals to my systems thinking. Observability is something I want to go deep on, understanding how to instrument applications with OpenTelemetry and then visualize that data. Infrastructure as code with Terraform and also understanding Crossplane for Kubernetes-native infrastructure management.","Docker, Kubernetes, GitOps, ArgoCD, Flux, OpenTelemetry, Terraform, Crossplane, CI/CD, Observability"
"Embedded Systems Engineer","18","Basic C++","iot development specifically. want to connect physical devices to cloud. need to learn: esp32 or raspberry pi for the hardware side, mqtt protocol for iot messaging, aws iot core for cloud connectivity, c for device firmware, micropython as an alternative for rapid prototyping, mqtt brokers like mosquitto, edge computing concepts, ota firmware updates. want to build a smart home project end to end.","ESP32, Raspberry Pi, MQTT, AWS IoT Core, C, MicroPython, Edge Computing, OTA Updates, Mosquitto"
"DevOps Engineer","12","Basic Linux","Platform engineering is where DevOps is going and I want to get ahead of this trend. The idea of building internal developer platforms that make it easier for other engineers to ship code is really compelling to me. I already know Linux well from my sysadmin background. Kubernetes deeply is the foundation of modern platform engineering. Backstage by Spotify for building developer portals and service catalogs. Crossplane for abstracting cloud infrastructure as Kubernetes resources. Tekton for Kubernetes-native CI/CD. Understanding how to build golden paths that enforce best practices without becoming bureaucratic bottlenecks. I want to become a platform engineer at a company with a large engineering organization where this kind of role has real impact.","Kubernetes, Backstage, Crossplane, Tekton, Platform Engineering, Developer Portal, Service Catalog"
"Cybersecurity Professional","18","Basic Networking","I've been following cybersecurity news and incidents for years as a hobby and I know a lot theoretically but I have almost no hands-on skills. I want to close that gap. TryHackMe for learning in a structured way with guided rooms. HackTheBox for more challenging unguided practice once I have fundamentals. I want to specifically focus on web application testing because that's where I see the most vulnerabilities in the news. Burp Suite is the tool I most want to master. Understanding the OWASP testing guide as a methodology. Bug bounty programs as a path to practice on real targets legally and potentially earn money.","TryHackMe, HackTheBox, Web Application Testing, Burp Suite, OWASP Testing Guide, Bug Bounty, Penetration Testing"
"Database Administrator","14","Excel and SQL","I want to become a cloud database administrator specifically, managing databases on AWS RDS and Aurora rather than self-hosted databases. I understand SQL reasonably well from my analyst background but I need to learn the cloud database operational side. AWS RDS multi-AZ deployment for high availability. Aurora's storage architecture and how it differs from standard MySQL. Database migration service for moving on-premise databases to cloud. Parameter group tuning. Automated backup and point-in-time recovery. Read replicas for scaling read workloads. Performance Insights for diagnosing database bottlenecks. I want to earn the AWS Database Specialty certification as the formal validation of these skills.","AWS RDS, Aurora, Multi-AZ, Database Migration Service, Read Replicas, Performance Insights, AWS Database Specialty"
"Data Analyst","10","None","literally starting from zero. heard data analyst is a good career. what even is sql. going to find out. starting with a free online course. excel then sql then maybe python. tableau for charts. going to take it one step at a time and not overthink it.","Excel, SQL, Python, Tableau, Data Analysis Fundamentals"
"AI Engineer","14","Basic Python","I'm a product manager at a tech company and I can see that AI is going to change every product I work on, so I want to go beyond just managing AI features from the outside and actually understand how to build them. I don't need to become a research scientist, but I want to be technical enough to prototype AI-powered features myself using no-code and low-code tools as well as the OpenAI and Anthropic APIs directly. I want to understand prompt engineering deeply because so much of what makes AI features good or bad comes down to how you structure the prompts. Function calling and structured outputs from LLMs for building reliable AI workflows. I want to build a proof-of-concept AI feature for our product within this timeframe to demonstrate internally.","Prompt Engineering, OpenAI API, Function Calling, Structured Outputs, AI Product Management, LLM Prototyping"
"Machine Learning Engineer","18","Intermediate Python","recommendation systems are what I want to specialize in building. been studying this on the side for months. need to learn: collaborative filtering and matrix factorization properly, content-based filtering, deep learning approaches with two-tower models, approximate nearest neighbor search with faiss or annoy, feature stores for serving recommendations, a/b testing for evaluating recommendation quality. also want to understand how big companies like spotify and netflix think about recommendations at scale.","Collaborative Filtering, Matrix Factorization, Content-Based Filtering, Two-Tower Models, FAISS, Feature Store, A/B Testing, Recommendation Systems"
"DevOps Engineer","10","Basic Linux","docker kubernetes ci/cd. thats what every job posting wants. linux admin experience helps. need hands on with k8s cluster management, helm charts, github actions pipelines. maybe terraform too.","Docker, Kubernetes, Helm, GitHub Actions, CI/CD, Terraform, Linux"
"Machine Learning Engineer","14","Intermediate Python","NLP engineer specifically. have python already. want to specialize in text. transformers library from hugging face, fine-tuning bert and its variants, text classification, named entity recognition, question answering systems, llm fine-tuning with lora and qlora, building a rag application end to end. also want to understand evaluation metrics for nlp tasks properly.","Hugging Face Transformers, BERT, Text Classification, NER, Question Answering, LoRA, QLoRA, RAG, NLP Evaluation"
"AI Engineer","22","College CS","multimodal AI is what i want to specialize in. vision language models, image generation with diffusion models, audio AI. have a cs degree so foundations are there. need to learn: pytorch deeply, hugging face ecosystem for pretrained models, stable diffusion fine-tuning with dreambooth/lora, openai vision api, whisper for audio. want to build an app that combines all of these. very excited about this direction.","PyTorch, Hugging Face, Stable Diffusion, DreamBooth, LoRA, Vision-Language Models, OpenAI Vision, Whisper"
"Site Reliability Engineer","14","Basic Linux","I work for a financial services company and our systems need five nines reliability but right now we're reactive rather than proactive. I want to specialize in reliability engineering for high-stakes financial systems. The core technical skills I need are monitoring and alerting done properly, chaos engineering with tools like Chaos Monkey or LitmusChaos to proactively find failures before they happen in production. Capacity planning and performance modeling. Database reliability in particular, understanding how to keep PostgreSQL and Redis reliable under production load. On-call practices and how to design systems that are survivable by an on-call engineer at 3am. I want to learn how Google's SRE practice works conceptually by reading the SRE book and applying those principles.","Monitoring, Alerting, Chaos Engineering, LitmusChaos, Capacity Planning, PostgreSQL, Redis, On-Call Practices, SRE Principles"
"Game Developer","24","None","I want to make games for a living and I know it's competitive and hard but it's my real passion and I've decided to commit fully. Not just modding or game jams, I want to actually understand how to build a professional quality game from scratch. Unity with C# is my chosen path because of the massive community and job market. I'm giving myself six months because I'm starting from nothing and I want to learn properly. Game design theory alongside the technical skills. Understanding how to scope a project realistically because I've read that scope creep kills indie game projects. Building systems that are extensible and maintainable.","Unity, C#, Game Design Theory, 2D/3D Development, Game Architecture, Scope Management, Indie Game Development"
"Mobile App Developer","20","College CS","building a social app with real-time features. react native as the framework. firebase realtime database or supabase for backend. socket.io or pusher for real-time messaging. push notifications with expo notifications. camera and media handling. geolocation features. understanding how to optimize react native performance since social apps have high performance expectations. app store submission for both platforms.","React Native, Firebase, Supabase, Socket.io, Real-time Messaging, Push Notifications, Geolocation, App Store"
"Backend Developer","16","None","i watched a youtube video about how websites work and now im obsessed with backend development. i want to understand servers, databases, apis, everything that happens you cant see. starting from python basics. django seems like good first framework. sql for databases. want to build something real by end of this.","Python, Django, SQL, REST API, Web Server, Database Design"
"Network Engineer","18","None","I used to work at an ISP doing customer service and I got to watch the network engineers do their work and I thought it was fascinating, like they were basically the people who kept the internet running for thousands of people. I decided I want to do that job. I don't have a technical background but I'm starting at the very beginning. CompTIA Network+ seems like the entry point before jumping to Cisco certifications. Understanding how packets travel across the internet, routing and switching fundamentals. TCP/IP protocol stack from the ground up. Subnetting which I hear is something you have to practice until it becomes second nature. CCNA is my medium-term target certification and I'll use Cisco Packet Tracer for hands-on practice.","Networking Fundamentals, TCP/IP, Subnetting, CompTIA Network+, Cisco, CCNA, Packet Tracer, Routing, Switching"
"Embedded Systems Engineer","14","None","I took apart every gadget I owned as a kid and I always wanted to understand how they worked at the chip level. Finally at 28 I'm going to properly learn electronics and embedded programming. Starting with Arduino because it's beginner friendly, then moving to bare-metal programming on STM32. C programming is the foundation I need. Understanding digital electronics, circuit basics, and how microcontrollers interface with the physical world through sensors and actuators.","Arduino, STM32, C Programming, Embedded Systems, Digital Electronics, Microcontroller, Sensors, Actuators"
"Data Analyst","8","Intermediate Python","Already comfortable with Python and basic stats from my physics degree. Need to specifically learn the data analyst toolkit that employers want. SQL is my main gap. Also want to learn pandas deeply beyond what I know. Tableau or Looker for BI dashboards. A/B testing and experiment design for product analytics roles. Thinking about Snowflake since most modern data stacks use it.","SQL, Pandas, Tableau, Looker, A/B Testing, Experiment Design, Snowflake"
"QA Engineer","18","Basic Python","I've been doing manual QA for two years and I'm good at it, I find bugs that other people miss, but I want to move into test automation because it's where the career growth and the interesting problems are. Playwright is what I want to learn for end-to-end browser automation because it's the modern choice and supports all browsers with one API. But I also want to understand different levels of testing, not just UI testing. API testing with Python's requests library and understanding how to validate complex API responses. Contract testing with Pact for testing that services communicate as expected without full integration tests. Performance testing with Locust so I can find out how the system behaves under load. I want to architect a full test strategy for a project, not just write individual tests.","Playwright, Python, API Testing, Contract Testing, Pact, Locust, Performance Testing, Test Strategy"
"AI Engineer","22","None","I'm a high school teacher who has been experimenting with AI tools for education and I've become fascinated by how they work. I want to eventually build educational AI tools myself. I have no programming background at all. My plan is very long term: Python first, then understanding how to use AI APIs, then eventually fine-tuning models for educational content. I know this will take a year or more to get to a useful level but I'm passionate about the intersection of AI and education.","Python, OpenAI API, Fine-tuning, Educational AI, LLM, Prompt Engineering"
"Cybersecurity Professional","22","None","tbh i just want to learn hacking because it looks insanely cool and i think i could actually be good at it. starting from zero but im willing to grind. heard i should start with networking fundamentals and then linux. kali linux is supposed to be the hacking OS. want to learn metasploit and stuff like that eventually. ctf competitions seem fun. security+ cert first then see where it goes","Networking, Linux, Kali Linux, Metasploit, CTF, CompTIA Security+"
"Backend Developer","10","Basic Python","I want to specialize in building high-performance APIs because I'm fascinated by the technical challenge of systems that need to handle millions of requests. Python is what I know but I've heard Python isn't the fastest for this kind of work. I want to learn Go because it's designed for this use case and it compiles to native code. The concurrency model in Go with goroutines and channels is supposed to be elegant for building concurrent servers. I'll learn the standard library deeply first, then web frameworks like Gin or Fiber. PostgreSQL for the database with connection pooling via pgx. gRPC for service-to-service communication instead of REST when performance matters. Load testing with k6 to actually measure and validate performance improvements.","Go, Goroutines, Gin, Fiber, PostgreSQL, pgx, gRPC, Load Testing, k6, High-Performance APIs"
"AI Engineer","20","Intermediate Python","I spent time in academia doing NLP research and now I want to transition into industry AI engineering roles because the research-to-product gap bothers me and I want to build things people actually use. My Python is solid and I understand transformers and attention from my research background, so I don't need to learn those fundamentals. What I'm missing is production engineering skills: how to serve models efficiently using frameworks like vLLM or TGI, how to quantize models for cost-efficient inference, how to monitor model performance in production and detect drift. MLOps tools like MLflow, Weights and Biases for experiment tracking. Building robust data pipelines for fine-tuning. I want to become the person who bridges ML research and production systems.","vLLM, TGI, Model Quantization, Model Serving, MLOps, MLflow, Weights and Biases, Model Monitoring, Fine-tuning"
"Cybersecurity Professional","10","Basic Networking","I've been doing IT support for three years and I keep getting pulled into security incidents that nobody else knows how to handle so I figured I should just become the security guy officially. I want to start by properly understanding how attacks actually work from the attacker's perspective, because I've heard you can't defend what you don't understand how to break. Nmap and Wireshark for reconnaissance and packet analysis seem like foundational tools I need to master. I want to learn about vulnerability scanning with Nessus and then understand how to read and act on those reports. OWASP Top 10 is something I keep hearing about for web application security. Eventually I want to pursue the CompTIA Security+ and then the eJPT certification as a practical hands-on milestone.","Nmap, Wireshark, Nessus, Vulnerability Scanning, OWASP Top 10, CompTIA Security+, eJPT"
"DevOps Engineer","16","Basic Python","I just accepted a job as a junior DevOps engineer which starts in four months and I'm honestly a bit terrified because I've mostly been a Python developer and the DevOps stack is quite different. I need to accelerate my learning immediately. Docker I need to get truly comfortable with because containerization is fundamental. Kubernetes is going to be the hardest part but I know they use it heavily. GitHub Actions for CI/CD pipelines because that's what they use specifically. Terraform for provisioning cloud resources. Helm for managing Kubernetes deployments. Monitoring with Datadog because that's what they told me they use. I need to go from beginner to job-ready in these tools in four months which is aggressive but necessary.","Docker, Kubernetes, GitHub Actions, Terraform, Helm, Datadog, CI/CD, Python"
"Business Intelligence Analyst","18","None","I run a small chain of restaurants and I have data everywhere but no idea how to use it. POS data, reservation data, food cost data, labor data, all in different systems and I make decisions based on gut feeling. I want to change that. I'm not planning to become a data professional, I want to learn just enough to build dashboards for my own business. Excel I can use at a basic level. Google Sheets for collaboration. Looker Studio which is free and connects to Google products. Basic SQL to pull data from our POS system database. This is very practical and business-focused learning.","Excel, Google Sheets, Looker Studio, SQL, Restaurant Analytics, Business Intelligence, Data-Driven Decision Making"
"Frontend Developer","12","College CS","CS graduate pivoting to frontend specifically because I love the creative and visual aspects of building UIs. Strong programming fundamentals but zero web experience. Need to learn the web platform fundamentals first, then React ecosystem. TypeScript is a must since I'm used to typed languages. Testing with Vitest and React Testing Library. Storybook for component development in isolation. Need to build a polished portfolio with three to four projects before applying to roles.","HTML, CSS, JavaScript, React, TypeScript, Vitest, React Testing Library, Storybook"
"Business Intelligence Analyst","14","Basic Python","switching from data analyst to bi engineer role. have python and some sql. need to learn: dbt for data transformation, dimensional modeling concepts, snowflake as the data warehouse platform, looker or power bi for the presentation layer, data pipeline orchestration with airflow. want to build end to end bi solution.","dbt, Dimensional Modeling, Snowflake, Looker, Power BI, Apache Airflow, Data Pipeline, ETL"
"Cybersecurity Professional","10","None","I work as a nurse and I've seen firsthand how devastating ransomware attacks on hospitals are for patient care and I want to do something about it by working in healthcare cybersecurity specifically. I have no technical background at all so I'm starting completely fresh. I know I need to build foundational knowledge first, networking and operating systems and how the internet works. Then I want to understand HIPAA compliance requirements because healthcare has specific regulatory obligations around patient data. I want to learn about medical device security which is a niche but critically important area. Eventually I want to work as a security analyst in a hospital or health system. CompTIA Security+ seems like my first milestone.","Networking, HIPAA, Healthcare Security, Medical Device Security, Security Analysis, CompTIA Security+"
"Backend Developer","8","Intermediate Python","Senior python dev wanting to add rust to my toolkit specifically for performance-critical components. learning rust ownership model, tokio for async runtime, actix-web for web services, sqlx for database access. not replacing python entirely, just adding rust where performance matters.","Rust, Tokio, Actix-web, SQLx, Async Programming, Systems Programming, Performance Optimization"
"Cloud Architect","14","Basic Networking","network engineer wanting to move into cloud. know networking really well which i hear is useful for cloud vpc and routing stuff. need to learn: aws core services, vpc design, transit gateway, direct connect, route53. also terraform for iac. want aws solutions architect associate cert. current role is on-prem and company is migrating everything to cloud so timing is perfect.","AWS, VPC, Transit Gateway, Direct Connect, Route 53, Terraform, Infrastructure as Code, AWS Solutions Architect"
"Cybersecurity Professional","20","Basic Python","Malware analysis and threat intelligence is what draws me to cybersecurity, I'm fascinated by how malicious software actually works at a technical level, like what happens when ransomware executes, how does it encrypt files, how does it evade detection. I want to learn reverse engineering basics using tools like Ghidra and IDA Free. Setting up isolated sandbox environments with Cuckoo Sandbox for dynamic malware analysis. Understanding assembly language at a reading level because you can't reverse binaries without it. YARA rules for creating malware signatures. Threat intelligence platforms and how to consume and act on threat feeds. I'm thinking the GREM certification from GIAC would be the right credential for this specialty.","Malware Analysis, Reverse Engineering, Ghidra, IDA, Cuckoo Sandbox, Assembly, YARA, Threat Intelligence, GREM"
"Machine Learning Engineer","18","Basic Python","I work in supply chain and I've seen how much money companies lose due to poor demand forecasting, like we throw away products or run out of stock constantly, and I know machine learning can dramatically improve these forecasts. I want to become a machine learning engineer with a specific focus on forecasting and time series problems. I need to learn Python data stack more deeply first, then move into ML with scikit-learn. Time series specific libraries like Prophet, NeuralProphet, and eventually deep learning approaches for forecasting with LSTMs or Temporal Fusion Transformers. Feature engineering for time series data including lag features, rolling statistics, and calendar features. MLflow for tracking experiments and managing model versions. The goal is to be able to build production forecasting pipelines from data ingestion to deployed model.","Python, Scikit-learn, Time Series, Prophet, NeuralProphet, LSTM, Temporal Fusion Transformer, Feature Engineering, MLflow"
"UI/UX Designer","18","None","I'm a visual artist who has been making illustrations and paintings for years and I've been told constantly that I have a good eye for composition and color. I want to transition that artistic skill into UI/UX design for digital products because the job market is better and I can still be creative. My zero programming or software background is fine because design doesn't require coding. Figma is obviously where I need to start and I hear it's intuitive for visual thinkers. Understanding the difference between UI and UX is something I'm still figuring out, but I know I need to learn about user research and usability testing not just making things look pretty. Typography principles for digital design. Building a portfolio of three case studies that show my process from research through final design.","Figma, UI Design, UX Research, Usability Testing, User Research, Typography, Design Portfolio, Case Studies"
"Data Analyst","12","None","Complete career changer here. Was a teacher for eight years and I loved it but the pay is unsustainable and I need a change. I've been told my communication and storytelling skills are actually a real asset in data analytics because being able to explain findings to non-technical audiences is rarer than technical skills alone. I'm starting from zero technically. Excel first, then SQL, then Python are my milestones in that order. I want to take the Google Data Analytics certificate to structure my learning and have something to show employers. Tableau for visualization because it seems beginner friendly compared to writing chart code. My teacher background means I know how to structure information clearly so I think data storytelling will come naturally once I have the technical foundations.","Excel, SQL, Python, Google Data Analytics Certificate, Tableau, Data Storytelling, Data Visualization"
"Mobile App Developer","18","Some JavaScript","I want to build a fitness tracking app that solves the problems I personally have with existing apps, and I'm enough of a developer to know I should probably use React Native since I already have JavaScript experience. Expo is the way I'll start because it abstracts a lot of the native complexity. I need to understand how React Native's bridge works and when you need to write native modules for things Expo doesn't cover. Integrating with device sensors like the accelerometer and GPS for fitness tracking. HealthKit on iOS and Google Fit API for reading health data from the system. I want to use Supabase for my backend because it's an open-source Firebase alternative with a proper PostgreSQL database underneath. App Store optimization and the submission process for both platforms.","React Native, Expo, JavaScript, HealthKit, Google Fit API, Supabase, PostgreSQL, App Store"
"Mobile App Developer","8","None","I have one app idea that I think could work. Flutter because you can target both phone platforms. Firebase for backend. Just need to build it and ship it. Never coded before. Giving myself a focused ten weeks.","Flutter, Dart, Firebase, iOS, Android, Mobile App Development"
"Cloud Architect","8","Intermediate Python","serverless architecture specialist. already know python and some aws basics. want to deep dive into lambda, api gateway, event bridge, step functions for orchestration, sqs and sns for messaging, dynamodb for serverless databases, sam and cdk for serverless infrastructure as code. goal is to design fully serverless production architectures.","AWS Lambda, API Gateway, EventBridge, Step Functions, SQS, SNS, DynamoDB, AWS SAM, CDK"
"Cybersecurity Professional","12","Basic Linux","Cloud security is where I want to specialize because everything is moving to cloud and the security skills haven't kept pace with the infrastructure migration. I understand Linux reasonably well which is helpful. I want to learn how to assess and secure AWS environments specifically, understanding IAM misconfigurations, S3 bucket exposure, and insecure Lambda functions. Tools like ScoutSuite and Prowler for cloud security posture management. Understanding how attackers move laterally in cloud environments is different from traditional on-premise attacks. Container security for Docker and Kubernetes is also important since those are inseparable from modern cloud workloads. I'm targeting the AWS Security Specialty certification.","Cloud Security, AWS, IAM, S3 Security, ScoutSuite, Prowler, Container Security, Kubernetes, AWS Security Specialty"
"Backend Developer","18","None","I'm a chef who spent fifteen years in kitchens and I want a career change that's as intellectually demanding but doesn't destroy my body. I chose backend development because I like the logical, systematic thinking it requires, similar to how cooking is about understanding fundamental techniques not just following recipes. I'm starting completely from scratch. Python is my first language because it's readable and versatile. I want to build up to understanding databases, APIs, and how web applications actually work on the server side. Django seems like a good framework to learn because it includes everything. I know this is a long journey and I'm treating it like culinary school, learning the fundamentals properly before getting creative.","Python, Django, SQL, REST API, PostgreSQL, Web Development, Authentication"
"Business Intelligence Analyst","12","Excel and SQL","ive been making excel reports for years and my company finally bought tableau licenses for everyone and my manager wants me to migrate everything over. so i need to learn tableau fast but i also want to do it properly not just recreate my excel charts in tableau. understanding tableau's data model and how to connect to live databases versus extracts. calculated fields and table calculations. lod expressions which i hear are powerful but confusing. dashboard design principles so the output is actually usable. tableau server for publishing and managing access. want to get the tableau desktop specialist certification.","Tableau, Data Modeling, Calculated Fields, LOD Expressions, Table Calculations, Tableau Server, Tableau Desktop Specialist"
"Full-Stack Developer","18","Basic HTML/CSS","I'm a graphic designer who has been doing mockups in Figma for years and developers always build my designs slightly wrong and it's frustrating. I want to learn enough full-stack development to implement my own designs exactly as I envision them and build my own portfolio pieces. The visual side of HTML and CSS I understand reasonably well from the design perspective, but JavaScript is completely foreign to me. I want to learn JavaScript, then React because being able to build interactive interfaces from my own Figma designs would be amazing. On the backend I think I'll go with Node.js to keep everything JavaScript. Firebase might be easier for me than setting up my own database initially. I want to build three complete projects that showcase both my design and development skills.","JavaScript, React, Node.js, Firebase, CSS Animations, Figma-to-Code, Responsive Design"
"Game Developer","8","Some JavaScript","just want to build small browser games for fun and maybe put on itch.io. phaser.js seems perfect. know javascript already so just need to learn the framework and game development concepts specifically.","Phaser.js, JavaScript, 2D Game Development, itch.io, Game Loop, Sprite Animation"
"Mobile App Developer","18","Basic Python","I've been building web scrapers and automation scripts with Python but I've always wanted to build a real mobile application that people can download and use on their phones. Python isn't really used for mobile apps so I need to learn a new language and framework. Flutter with Dart is my choice because you can target both iOS and Android with one codebase and the performance is genuinely good. I'll need to learn Dart from scratch which is supposed to be approachable for Python developers. Firebase for the backend since it integrates really nicely with Flutter and handles authentication, database, and push notifications out of the box. I want to build and publish an actual app to the Google Play Store as a concrete milestone.","Flutter, Dart, Firebase, iOS, Android, Google Play Store, Push Notifications, Authentication"
"Network Engineer","16","Basic Networking","Wireless networking specialist is my goal. I'm particularly interested in enterprise WiFi design and troubleshooting. Understanding WiFi standards from 802.11ac to WiFi 6E and WiFi 7. RF propagation and how to do proper site surveys. Controller-based wireless with Cisco Wireless LAN Controller or Meraki. Ekahau for wireless site survey and heat mapping. RADIUS authentication and 802.1X for enterprise wireless security. Troubleshooting interference and capacity issues in dense environments. CWNA certification as my first milestone and then CWSP for the security specialization.","WiFi, 802.11, WiFi 6E, RF Propagation, Site Survey, Cisco WLC, Meraki, Ekahau, 802.1X, RADIUS, CWNA, CWSP"
"Data Analyst","10","Basic Python","I've been doing ad-hoc analysis in Python notebooks for my current role in marketing but it's all really messy and I don't have proper SQL skills, so every time I need data from the database I have to ask our engineer to pull it for me which is embarrassing and slow. I want to become self-sufficient and SQL is the first thing I'm learning so I can query our database directly. I want to get really good at complex queries including CTEs, window functions, and subqueries. dbt is something I've heard about for transforming data in the warehouse and I'm curious to learn it. I also want to level up my Python visualization skills with Plotly for more interactive charts, and learn some basics of statistics that I can actually apply to marketing analytics like attribution modeling.","SQL, CTEs, Window Functions, dbt, Python, Plotly, Attribution Modeling, Marketing Analytics"
"UI/UX Designer","18","Basic HTML/CSS","I want to become a design engineer, the hybrid role between design and frontend development that's becoming increasingly common at startups. My HTML and CSS are decent from experimenting. I need to learn Figma for design work, then React to actually implement my designs in code. The goal is to be the person who can take a design from concept to polished coded component without needing a separate handoff step. Storybook for building and documenting component libraries. Animation and micro-interactions with Framer Motion because those details make products feel premium. Accessibility because designers who understand WCAG are rare and valuable.","Figma, React, Storybook, Framer Motion, CSS, Design Systems, Component Library, Web Accessibility, WCAG"
"Cloud Architect","18","Intermediate Python","I want to specialize in cloud data architecture specifically, designing the infrastructure that data platforms run on, rather than general cloud architecture. I have Python skills and I want to understand how to architect modern data lakes and lakehouses on cloud infrastructure. AWS S3 as a storage layer with Lake Formation for access control and governance. Glue for ETL orchestration and Athena for serverless querying. Understanding the Lakehouse pattern with Delta Lake or Apache Iceberg for ACID transactions on data lakes. Spark on EMR for large-scale data processing. The data engineering and cloud architecture intersection is where I want to be, and I think it's underserved relative to demand.","AWS, S3, Lake Formation, Glue, Athena, Delta Lake, Apache Iceberg, Spark, EMR, Data Lakehouse"
"Site Reliability Engineer","14","College CS","I care deeply about making software reliable and I'm drawn to the SRE philosophy of treating operations as a software problem. My CS background gives me the programming foundation. Need to learn: Kubernetes deeply, Prometheus and Grafana for observability, how to define and track SLOs properly, incident management process, chaos engineering with Chaos Monkey or LitmusChaos, and postmortem culture. Also want to learn Go since most SRE tooling is written in it.","Kubernetes, Prometheus, Grafana, SLOs, Incident Management, Chaos Engineering, LitmusChaos, Go, Postmortems"
